functional,1850-01-01T00:00:00,"""1850-01-01T23:00:00.000Z""",1980-01-01T00:00:00,"""1980-01-01T23:00:00.000Z""",37,130,1_residential,1,1,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=8254136VG4185C,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=8254136&rc2=VG4185C,114 m2,114
functional,1850-01-01T00:00:00,"""1850-01-01T23:00:00.000Z""",1980-01-01T00:00:00,"""1980-01-01T23:00:00.000Z""",37,130,1_residential,1,1,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=8054501VG4185C,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=8054501&rc2=VG4185C,120 m2,120
functional,1870-01-01T00:00:00,"""1870-01-01T23:00:00.000Z""",1998-01-01T00:00:00,"""1998-01-01T23:00:00.000Z""",19,128,1_residential,1,1,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=6946605VG4164F,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=6946605&rc2=VG4164F,905 m2,905
functional,1890-01-01T00:00:00,"""1890-01-01T23:00:00.000Z""",2011-01-01T00:00:00,"""2011-01-01T23:00:00.000Z""",6,121,1_residential,1,1,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=6545503VG4164F,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=6545503&rc2=VG4164F,391 m2,391
functional,1900-01-01T00:00:00,"""1900-01-01T23:00:00.000Z""",2016-01-01T00:00:00,"""2016-01-01T23:00:00.000Z""",1,116,4_3_publicServices,1,0,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=6554606VG4165D,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=6554606&rc2=VG4165D,12980 m2,12980
functional,1850-01-01T00:00:00,"""1850-01-01T23:00:00.000Z""",1965-01-01T00:00:00,"""1965-01-01T23:00:00.000Z""",52,115,1_residential,1,1,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=8054107VG4185C,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=8054107&rc2=VG4185C,360 m2,360
functional,1900-01-01T00:00:00,"""1900-01-01T23:00:00.000Z""",2015-01-01T00:00:00,"""2015-01-01T23:00:00.000Z""",2,115,4_3_publicServices,1,0,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=6844002VG4164D,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=6844002&rc2=VG4164D,8648 m2,8648
functional,1890-01-01T00:00:00,"""1890-01-01T23:00:00.000Z""",2005-01-01T00:00:00,"""2005-01-01T23:00:00.000Z""",12,115,4_2_retail,1,0,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=6643801VG4164D,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=6643801&rc2=VG4164D,7454 m2,7454
functional,1900-01-01T00:00:00,"""1900-01-01T23:00:00.000Z""",2014-01-01T00:00:00,"""2014-01-01T23:00:00.000Z""",3,114,1_residential,1,1,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=7352112VG4175A,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=7352112&rc2=VG4175A,173 m2,173
functional,1900-01-01T00:00:00,"""1900-01-01T23:00:00.000Z""",2014-01-01T00:00:00,"""2014-01-01T23:00:00.000Z""",3,114,1_residential,291,0,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=5865097VG4156F,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=5865097&rc2=VG4156F,28321 m2,28321
functional,1900-01-01T00:00:00,"""1900-01-01T23:00:00.000Z""",2013-01-01T00:00:00,"""2013-01-01T23:00:00.000Z""",4,113,1_residential,1,1,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=8149013VG4184G,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=8149013&rc2=VG4184G,452 m2,452
functional,1900-01-01T00:00:00,"""1900-01-01T23:00:00.000Z""",2013-01-01T00:00:00,"""2013-01-01T23:00:00.000Z""",4,113,1_residential,1,1,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=7552002VG4175B,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=7552002&rc2=VG4175B,311 m2,311
functional,1900-01-01T00:00:00,"""1900-01-01T23:00:00.000Z""",2013-01-01T00:00:00,"""2013-01-01T23:00:00.000Z""",4,113,1_residential,1,1,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=7545202VG4174F,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=7545202&rc2=VG4174F,75 m2,75
