ruin,1900-01-01T00:00:00,1900-01-01T00:00:00,,2,0,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=18900A00300286,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=18900A0&rc2=0300286,157 m2
ruin,1900-01-01T00:00:00,1900-01-01T00:00:00,,2,0,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=18900A00300287,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=18900A0&rc2=0300287,160 m2
ruin,1900-01-01T00:00:00,1900-01-01T00:00:00,,2,0,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=18900A00300288,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=18900A0&rc2=0300288,154 m2
ruin,1900-01-01T00:00:00,1900-01-01T00:00:00,,2,0,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=18900A00300289,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=18900A0&rc2=0300289,142 m2
declined,1940-01-01T00:00:00,1940-01-01T00:00:00,1_residential,2,1,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=18900A00300295,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=18900A0&rc2=0300295,94 m2
declined,1985-01-01T00:00:00,1985-01-01T00:00:00,1_residential,2,1,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=18900A00400015,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=18900A0&rc2=0400015,140 m2
ruin,1960-01-01T00:00:00,1960-01-01T00:00:00,,1,0,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=18900A00400186,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=18900A0&rc2=0400186,524 m2
declined,1995-01-01T00:00:00,1995-01-01T00:00:00,3_industrial,2,0,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=18900A00400200,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=18900A0&rc2=0400200,70 m2
declined,1990-01-01T00:00:00,1990-01-01T00:00:00,2_agriculture,1,0,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=18900A00400225,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=18900A0&rc2=0400225,24 m2
declined,1984-01-01T00:00:00,1984-01-01T00:00:00,3_industrial,2,0,http://ovc.catastro.meh.es/OVCServWeb/OVCWcfLibres/OVCFotoFachada.svc/RecuperarFotoFachadaGet?ReferenciaCatastral=18900A00400248,https://www1.sedecatastro.gob.es/CYCBienInmueble/OVCListaBienes.aspx?rc1=18900A0&rc2=0400248,528 m2
